NO,Annotation,Reportor,Samples,Dataset,ID,Organism,Link
1,"XIST, X inactive specific transcript (non-protein coding)","GPL570, 227671_at (ID_REF), GDS3539, 7503 (Gene ID), AV646597",82,"Expression profiling by array, transformed count, 82 samples",<dd>60232026</dd>,Homo sapiens,https://geoprofiles/60232026
1,"XIST, X inactive specific transcript (non-protein coding)","GPL570, 227671_at (ID_REF), GDS3539, 7503 (Gene ID), AV646597",82,"Expression profiling by array, transformed count, 82 samples",<dd>60232026</dd>,Homo sapiens,https://geoprofiles/60232026
1,"XIST, X inactive specific transcript (non-protein coding)","GPL570, 227671_at (ID_REF), GDS3539, 7503 (Gene ID), AV646597",82,"Expression profiling by array, transformed count, 82 samples",<dd>60232026</dd>,Homo sapiens,https://geoprofiles/60232026
1,"XIST, X inactive specific transcript (non-protein coding)","GPL570, 227671_at (ID_REF), GDS3539, 7503 (Gene ID), AV646597",82,"Expression profiling by array, transformed count, 82 samples",<dd>60232026</dd>,Homo sapiens,https://geoprofiles/60232026
1,"XIST, X inactive specific transcript (non-protein coding)","GPL570, 227671_at (ID_REF), GDS3539, 7503 (Gene ID), AV646597",82,"Expression profiling by array, transformed count, 82 samples",<dd>60232026</dd>,Homo sapiens,https://geoprofiles/60232026
1,"XIST, X inactive specific transcript (non-protein coding)","GPL570, 227671_at (ID_REF), GDS3539, 7503 (Gene ID), AV646597",82,"Expression profiling by array, transformed count, 82 samples",<dd>60232026</dd>,Homo sapiens,https://geoprofiles/60232026
1,"XIST, X inactive specific transcript (non-protein coding)","GPL570, 227671_at (ID_REF), GDS3539, 7503 (Gene ID), AV646597",82,"Expression profiling by array, transformed count, 82 samples",<dd>60232026</dd>,Homo sapiens,https://geoprofiles/60232026
1,"XIST, X inactive specific transcript (non-protein coding)","GPL570, 227671_at (ID_REF), GDS3539, 7503 (Gene ID), AV646597",82,"Expression profiling by array, transformed count, 82 samples",<dd>60232026</dd>,Homo sapiens,https://geoprofiles/60232026
1,"XIST, X inactive specific transcript (non-protein coding)","GPL570, 227671_at (ID_REF), GDS3539, 7503 (Gene ID), AV646597",82,"Expression profiling by array, transformed count, 82 samples",<dd>60232026</dd>,Homo sapiens,https://geoprofiles/60232026
1,"XIST, X inactive specific transcript (non-protein coding)","GPL570, 227671_at (ID_REF), GDS3539, 7503 (Gene ID), AV646597",82,"Expression profiling by array, transformed count, 82 samples",<dd>60232026</dd>,Homo sapiens,https://geoprofiles/60232026
1,"XIST, X inactive specific transcript (non-protein coding)","GPL570, 227671_at (ID_REF), GDS3539, 7503 (Gene ID), AV646597",82,"Expression profiling by array, transformed count, 82 samples",<dd>60232026</dd>,Homo sapiens,https://geoprofiles/60232026
1,"XIST, X inactive specific transcript (non-protein coding)","GPL570, 227671_at (ID_REF), GDS3539, 7503 (Gene ID), AV646597",82,"Expression profiling by array, transformed count, 82 samples",<dd>60232026</dd>,Homo sapiens,https://geoprofiles/60232026
1,"XIST, X inactive specific transcript (non-protein coding)","GPL570, 227671_at (ID_REF), GDS3539, 7503 (Gene ID), AV646597",82,"Expression profiling by array, transformed count, 82 samples",<dd>60232026</dd>,Homo sapiens,https://geoprofiles/60232026
1,"XIST, X inactive specific transcript (non-protein coding)","GPL570, 227671_at (ID_REF), GDS3539, 7503 (Gene ID), AV646597",82,"Expression profiling by array, transformed count, 82 samples",<dd>60232026</dd>,Homo sapiens,https://geoprofiles/60232026
1,"XIST, X inactive specific transcript (non-protein coding)","GPL570, 227671_at (ID_REF), GDS3539, 7503 (Gene ID), AV646597",82,"Expression profiling by array, transformed count, 82 samples",<dd>60232026</dd>,Homo sapiens,https://geoprofiles/60232026
1,"XIST, X inactive specific transcript (non-protein coding)","GPL570, 227671_at (ID_REF), GDS3539, 7503 (Gene ID), AV646597",82,"Expression profiling by array, transformed count, 82 samples",<dd>60232026</dd>,Homo sapiens,https://geoprofiles/60232026
1,"XIST, X inactive specific transcript (non-protein coding)","GPL570, 227671_at (ID_REF), GDS3539, 7503 (Gene ID), AV646597",82,"Expression profiling by array, transformed count, 82 samples",<dd>60232026</dd>,Homo sapiens,https://geoprofiles/60232026
1,"XIST, X inactive specific transcript (non-protein coding)","GPL570, 227671_at (ID_REF), GDS3539, 7503 (Gene ID), AV646597",82,"Expression profiling by array, transformed count, 82 samples",<dd>60232026</dd>,Homo sapiens,https://geoprofiles/60232026
1,"XIST, X inactive specific transcript (non-protein coding)","GPL570, 227671_at (ID_REF), GDS3539, 7503 (Gene ID), AV646597",82,"Expression profiling by array, transformed count, 82 samples",<dd>60232026</dd>,Homo sapiens,https://geoprofiles/60232026
1,"XIST, X inactive specific transcript (non-protein coding)","GPL570, 227671_at (ID_REF), GDS3539, 7503 (Gene ID), AV646597",82,"Expression profiling by array, transformed count, 82 samples",<dd>60232026</dd>,Homo sapiens,https://geoprofiles/60232026
